,apll_time,llprover_time,sat-ll_time,apll_outcome,llprover_outcome,sat-ll_outcome,size,atoms,*,|,&,+,?,!
82,-1,-1,160,TIMEOUT,TIMEOUT,NONE,500,250,60,56,47,52,0,0
83,335,32554,152,NONE,NONE,NONE,500,250,51,56,53,54,0,0
84,47,142,193,NONE,NONE,NONE,500,250,55,53,53,53,0,0
85,45,131,152,NONE,NONE,NONE,500,250,44,61,59,50,0,0
86,463,-1,154,NONE,TIMEOUT,NONE,500,250,47,65,52,51,0,0
87,48,664,158,NONE,NONE,NONE,500,250,62,61,46,47,0,0
88,38,138,1006,NONE,NONE,NONE,500,250,64,49,57,40,0,0
89,62,43903,154,NONE,NONE,NONE,500,250,47,55,56,54,0,0
90,46,223,150,NONE,NONE,NONE,500,250,50,54,51,58,0,0
91,45,188,153,NONE,NONE,NONE,500,250,53,52,65,48,0,0
92,43,152,152,NONE,NONE,NONE,500,250,52,47,62,54,0,0
93,-1,-1,185,TIMEOUT,TIMEOUT,NONE,500,250,48,57,57,52,0,0
94,-1,-1,177,TIMEOUT,TIMEOUT,NONE,500,250,55,57,49,55,0,0
95,-1,-1,222,TIMEOUT,TIMEOUT,NONE,500,250,55,56,45,60,0,0
96,44,137,150,NONE,NONE,NONE,500,250,50,56,59,51,0,0
97,52,136,192,NONE,NONE,NONE,500,250,57,52,53,55,0,0
98,41,135,153,NONE,NONE,NONE,500,250,47,54,63,52,0,0
99,-1,-1,159,TIMEOUT,TIMEOUT,NONE,500,250,56,62,54,46,0,0
